 Time       q1       q2       q3       q4       q5       q6       g-value  error    velocity
    24.000  0.03254  0.00399  0.00693  0.00274 -0.01305  0.05500  0.99965  0.00038  0.00000 
    34.000  0.03245  0.00405  0.00692  0.00274 -0.01305  0.05501  0.99965  0.00039  0.00000 
    44.000  0.03269  0.00244  0.00656  0.00476 -0.00982  0.05102  0.99964  0.00039  0.00000 
    54.000  0.03210  0.00454  0.00622  0.00074 -0.01309  0.05504  0.99959  0.00037  0.00000 
    64.000  0.03221  0.00440  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
    74.000  0.03220  0.00439  0.00626  0.00076 -0.01309  0.05503  0.99958  0.00037  0.00000 
    84.000  0.03219  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
    94.000  0.03220  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   104.000  0.03220  0.00440  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   114.000  0.03220  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   124.000  0.03220  0.00440  0.00627  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   134.000  0.03220  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   144.000  0.03221  0.00439  0.00627  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   154.000  0.03220  0.00439  0.00627  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   164.000  0.03220  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   174.000  0.03220  0.00439  0.00627  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   184.000  0.03220  0.00439  0.00625  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   194.000  0.03220  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   204.000  0.03220  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   214.000  0.03220  0.00438  0.00626  0.00076 -0.01309  0.05503  0.99958  0.00037  0.00000 
   224.000  0.03219  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   234.000  0.03220  0.00439  0.00627  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   244.000  0.03220  0.00439  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   254.000  0.03220  0.00440  0.00626  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   264.000  0.03220  0.00440  0.00627  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   274.000  0.03220  0.00440  0.00627  0.00075 -0.01309  0.05503  0.99958  0.00037  0.00000 
   284.000  0.03220  0.00438  0.00627  0.00076 -0.01309  0.05503  0.99958  0.00037  0.00000 
   294.000  0.03271  0.00230  0.00508  0.00166 -0.01301  0.05418  0.99966  0.00035  0.00000 
   304.000  0.03315  0.00118  0.00310  0.00277 -0.01301  0.05301  0.99966  0.00036  0.00000 
   314.000  0.03313  0.00117  0.00310  0.00277 -0.01301  0.05301  0.99966  0.00036  0.00000 
   324.000  0.03314  0.00117  0.00310  0.00277 -0.01301  0.05301  0.99966  0.00036  0.00000 
   334.000  0.03314  0.00117  0.00310  0.00277 -0.01301  0.05301  0.99966  0.00036  0.00000 
   344.000  0.03314  0.00118  0.00310  0.00277 -0.01301  0.05301  0.99966  0.00036  0.00000 
   354.000  0.03314  0.00120  0.00309  0.00277 -0.01301  0.05301  0.99966  0.00036  0.00000 
   358.020  0.03191  0.00021  0.00273  0.00279 -0.01325  0.05264  0.99779  0.00047  0.00000 
   358.040  0.03423 -0.00313  0.00553  0.00343 -0.01290  0.05213  0.99295  0.00082  0.00000 
   358.050  0.03423 -0.00313  0.00553  0.00343 -0.01290  0.05213  0.98070  0.00148  0.00000 
   358.060  0.03423 -0.00313  0.00553  0.00343 -0.01290  0.05213  0.95728  0.00192  0.00000 
   358.070  0.03423 -0.00313  0.00553  0.00343 -0.01290  0.05213  0.98278  0.02651  0.00000 
   358.080  0.03423 -0.00313  0.00553  0.00343 -0.01290  0.05213  0.95673  0.02864  0.00000 
   358.090  0.03423 -0.00313  0.00553  0.00343 -0.01290  0.05213  0.88737  0.05426  0.00000 
