 Time       q1       q2       q3       q4       q5       q6       g-value  error    velocity
    24.000  0.03502  0.00414  0.00677  0.00260 -0.01286  0.05365  0.99965  0.00036  0.00000 
    34.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
    44.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
    54.000  0.03498  0.00416  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
    64.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
    74.000  0.03498  0.00416  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
    84.000  0.03498  0.00414  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
    94.000  0.03499  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   104.000  0.03498  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   114.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   124.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   134.000  0.03498  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   144.000  0.03497  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   154.000  0.03498  0.00416  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   164.000  0.03498  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   174.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   184.000  0.03498  0.00416  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   194.000  0.03498  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   204.000  0.03499  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   214.000  0.03498  0.00414  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   224.000  0.03497  0.00416  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   234.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   244.000  0.03499  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   254.000  0.03498  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   264.000  0.03497  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   274.000  0.03498  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   284.000  0.03498  0.00415  0.00679  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   294.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   304.000  0.03498  0.00414  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   314.000  0.03497  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   324.000  0.03499  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   334.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   344.000  0.03498  0.00415  0.00680  0.00260 -0.01286  0.05366  0.99965  0.00036  0.00000 
   354.000  0.03498  0.00417  0.00679  0.00260 -0.01286  0.05366  0.99964  0.00037  0.00000 
   358.020  0.03364  0.00272  0.00688  0.00266 -0.01314  0.05331  0.99814  0.00042  0.00000 
   358.040  0.03581  0.00061  0.00950  0.00321 -0.01290  0.05303  0.99465  0.00061  0.00000 
   358.050  0.03981 -0.00502  0.00555  0.00390 -0.01186  0.05224  0.98975  0.00077  0.00000 
   358.060  0.03981 -0.00502  0.00555  0.00390 -0.01186  0.05224  0.97327  0.00181  0.00000 
   358.070  0.03981 -0.00502  0.00555  0.00390 -0.01186  0.05224  0.94513  0.00192  0.00000 
   358.080  0.03981 -0.00502  0.00555  0.00390 -0.01186  0.05224  0.97390  0.02733  0.00000 
   358.090  0.03981 -0.00502  0.00555  0.00390 -0.01186  0.05224  0.87508  0.09464  0.00000 
